Date,Region,Category,Product,Units,UnitPrice
2024-03-12,North,Clothing,Winter Jacket,7,2294.59
2024-03-12,East,Clothing,Denim Jeans,2,1554.68
2024-03-12,North,Sports,Dumbbell Set 10kg,6,1774.97
2024-03-13,East,Sports,Football,6,796.13
2024-03-13,West,Electronics,USB-C Charger 65W,2,961.51
2024-03-14,East,Clothing,Winter Jacket,7,1934.06
2024-03-14,South,Clothing,Winter Jacket,1,2446.42
2024-03-14,West,Home & Kitchen,LED Table Lamp,1,676.76
2024-03-15,North,Clothing,Running Shoes,3,2019.85
2024-03-15,North,Home & Kitchen,Electric Kettle,4,1132.15
2024-03-15,North,Electronics,Wireless Earbuds,3,3176.95
2024-03-15,South,Sports,Cycling Helmet,2,936.78
2024-03-15,South,Clothing,Denim Jeans,7,1664.01
2024-03-15,West,Electronics,Bluetooth Speaker,7,2737.91
2024-03-15,South,Clothing,Men's Cotton T-Shirt,5,605.56
2024-03-16,North,Sports,Dumbbell Set 10kg,7,2668.68
2024-03-16,North,Electronics,Smartwatch,3,4566.56
2024-03-17,West,Clothing,Denim Jeans,6,1046.25
2024-03-17,West,Clothing,Denim Jeans,8,1004.62
2024-03-17,East,Electronics,USB-C Charger 65W,3,1153.09
2024-03-17,East,Clothing,Running Shoes,2,3649.86
2024-03-17,North,Home & Kitchen,Air Purifier,7,5102.47
2024-03-18,South,Electronics,Smartwatch,6,2741.8
2024-03-18,South,Clothing,Women's Kurti,8,585.93
2024-03-19,South,Sports,Cricket Bat,5,1440.14
2024-03-19,West,Clothing,Women's Kurti,3,932.71
2024-03-19,North,Sports,Football,9,907.57
2024-03-19,West,Home & Kitchen,LED Table Lamp,4,402.42
2024-03-20,North,Home & Kitchen,Non-Stick Cookware Set,11,1327.96
2024-03-20,West,Sports,Cricket Bat,6,1490.3
2024-03-21,North,Sports,Football,8,641.62
2024-03-21,East,Sports,Football,3,995.03
2024-03-22,North,Sports,Cycling Helmet,8,1236.3
2024-03-22,North,Sports,Yoga Mat,8,716.74
2024-03-22,West,Electronics,Power Bank 20000mAh,8,1622.04
2024-03-22,South,Electronics,USB-C Charger 65W,5,1036.86
2024-03-23,West,Home & Kitchen,Air Purifier,4,8239.71
2024-03-23,South,Electronics,Smartwatch,6,5703.41
2024-03-24,East,Home & Kitchen,Non-Stick Cookware Set,5,2006.12
2024-03-25,West,Home & Kitchen,Vacuum Cleaner,6,4780.95
2024-03-25,East,Sports,Cricket Bat,3,2095.86
2024-03-26,North,Clothing,Women's Kurti,8,547.02
2024-03-27,East,Clothing,Women's Kurti,5,1005.52
2024-03-29,East,Electronics,Smartwatch,7,4596.27
2024-03-29,West,Home & Kitchen,Electric Kettle,6,795.9
2024-03-29,North,Electronics,Power Bank 20000mAh,6,1400.94
2024-03-30,East,Clothing,Winter Jacket,3,2350.45
2024-03-30,East,Sports,Football,3,544.17
2024-03-30,North,Sports,Yoga Mat,5,700.83
2024-03-31,North,Sports,Yoga Mat,7,791.19
2024-03-31,North,Clothing,Women's Kurti,7,802.47
2024-04-01,West,Electronics,USB-C Charger 65W,7,857.16
2024-04-01,South,Sports,Cricket Bat,5,1137.62
2024-04-01,West,Sports,Yoga Mat,6,737.25
2024-04-02,West,Clothing,Denim Jeans,8,1072.8
2024-04-02,North,Home & Kitchen,LED Table Lamp,8,730.46
2024-04-02,South,Electronics,Power Bank 20000mAh,3,1182.07
2024-04-02,South,Electronics,USB-C Charger 65W,2,903.46
2024-04-03,North,Home & Kitchen,Air Purifier,3,6494.09
2024-04-03,South,Electronics,Bluetooth Speaker,4,1927.52
2024-04-04,East,Electronics,USB-C Charger 65W,3,1117.45
2024-04-05,East,Sports,Football,6,572.31
2024-04-05,East,Clothing,Denim Jeans,2,1495.0
2024-04-06,North,Clothing,Winter Jacket,5,2736.19
2024-04-09,South,Home & Kitchen,Electric Kettle,6,609.9
2024-04-09,East,Home & Kitchen,LED Table Lamp,3,518.13
2024-04-09,South,Electronics,Power Bank 20000mAh,7,948.66
2024-04-09,North,Home & Kitchen,Air Purifier,3,5341.39
2024-04-10,South,Home & Kitchen,Electric Kettle,5,949.51
2024-04-10,North,Clothing,Women's Kurti,8,514.35
2024-04-11,North,Sports,Football,8,900.35
2024-04-13,North,Clothing,Running Shoes,2,2128.75
2024-04-14,North,Home & Kitchen,Electric Kettle,4,1070.18
2024-04-14,South,Home & Kitchen,Vacuum Cleaner,1,3532.27
2024-04-14,South,Clothing,Running Shoes,2,2420.34
2024-04-15,West,Sports,Football,1,1099.71
2024-04-15,West,Sports,Yoga Mat,8,804.35
2024-04-15,South,Home & Kitchen,Air Purifier,10,8466.98
2024-04-16,East,Clothing,Denim Jeans,3,1115.88
2024-04-16,West,Clothing,Winter Jacket,5,1776.17
2024-04-16,South,Sports,Cricket Bat,2,1017.55
2024-04-16,East,Sports,Football,4,1155.35
2024-04-17,West,Sports,Cricket Bat,2,1964.66
2024-04-17,West,Clothing,Winter Jacket,4,2414.18
2024-04-18,East,Home & Kitchen,Electric Kettle,7,1219.28
2024-04-18,South,Home & Kitchen,LED Table Lamp,6,677.9
2024-04-18,West,Electronics,Wireless Earbuds,4,3184.35
2024-04-18,West,Sports,Football,6,1074.71
2024-04-19,West,Clothing,Denim Jeans,2,1419.61
2024-04-20,South,Electronics,Bluetooth Speaker,5,2285.15
2024-04-20,West,Clothing,Running Shoes,7,2022.37
2024-04-21,East,Sports,Cricket Bat,6,1659.83
2024-04-22,North,Home & Kitchen,Non-Stick Cookware Set,7,1435.49
2024-04-22,West,Sports,Cricket Bat,3,1128.93
2024-04-22,South,Home & Kitchen,Non-Stick Cookware Set,5,1923.25
2024-04-23,South,Sports,Dumbbell Set 10kg,6,2115.24
2024-04-23,South,Electronics,USB-C Charger 65W,1,742.58
2024-04-23,North,Home & Kitchen,Electric Kettle,3,971.42
2024-04-23,North,Clothing,Men's Cotton T-Shirt,8,453.32
2024-04-23,South,Clothing,Denim Jeans,5,1096.6
2024-04-23,West,Electronics,Wireless Earbuds,4,2718.05
2024-04-24,West,Electronics,Wireless Earbuds,8,2742.9
2024-04-25,North,Clothing,Women's Kurti,5,1090.36
2024-04-25,South,Sports,Cycling Helmet,7,712.53
2024-04-25,West,Home & Kitchen,Vacuum Cleaner,3,4102.18
2024-04-25,West,Home & Kitchen,Electric Kettle,1,993.67
2024-04-26,West,Home & Kitchen,Non-Stick Cookware Set,3,1732.18
2024-04-26,East,Clothing,Men's Cotton T-Shirt,6,464.89
2024-04-27,East,Electronics,Bluetooth Speaker,3,1952.8
2024-04-27,East,Home & Kitchen,Electric Kettle,5,1074.44
2024-04-27,West,Home & Kitchen,Air Purifier,1,7653.68
2024-04-28,North,Sports,Dumbbell Set 10kg,8,2014.26
2024-04-28,North,Sports,Dumbbell Set 10kg,5,2241.04
2024-04-28,North,Electronics,Bluetooth Speaker,9,1414.54
2024-04-29,North,Electronics,USB-C Charger 65W,8,854.31
2024-04-29,West,Home & Kitchen,Electric Kettle,1,794.09
2024-04-30,West,Sports,Yoga Mat,4,689.46
2024-04-30,North,Sports,Cricket Bat,1,1552.73
2024-04-30,South,Electronics,Power Bank 20000mAh,8,979.22
2024-04-30,North,Sports,Football,3,831.09
2024-04-30,North,Home & Kitchen,Non-Stick Cookware Set,10,1344.21
2024-04-30,North,Sports,Cricket Bat,6,1660.11
2024-05-01,North,Home & Kitchen,Air Purifier,3,7755.09
2024-05-01,South,Clothing,Winter Jacket,4,2969.91
2024-05-02,West,Sports,Dumbbell Set 10kg,7,1556.74
2024-05-02,South,Home & Kitchen,LED Table Lamp,6,554.21
2024-05-02,East,Home & Kitchen,Non-Stick Cookware Set,6,1465.82
2024-05-03,South,Sports,Football,1,565.14
2024-05-03,East,Sports,Dumbbell Set 10kg,2,2180.53
2024-05-03,South,Clothing,Running Shoes,6,2334.65
2024-05-03,South,Sports,Cycling Helmet,3,1411.45
2024-05-03,East,Home & Kitchen,Air Purifier,3,8822.34
2024-05-04,North,Clothing,Running Shoes,8,3716.93
2024-05-05,West,Electronics,Bluetooth Speaker,4,2400.76
2024-05-05,East,Sports,Cycling Helmet,3,852.99
2024-05-06,South,Home & Kitchen,Vacuum Cleaner,4,4188.55
2024-05-06,East,Clothing,Men's Cotton T-Shirt,3,394.18
2024-05-06,East,Sports,Cycling Helmet,7,796.28
2024-05-06,North,Home & Kitchen,Non-Stick Cookware Set,6,2290.56
2024-05-06,North,Clothing,Winter Jacket,7,1728.32
2024-05-07,North,Electronics,Power Bank 20000mAh,9,1500.82
2024-05-07,West,Electronics,USB-C Charger 65W,4,1242.99
2024-05-07,North,Sports,Cricket Bat,2,1643.0
2024-05-07,North,Electronics,Power Bank 20000mAh,7,1534.17
2024-05-07,East,Sports,Cricket Bat,6,1093.25
2024-05-07,West,Clothing,Denim Jeans,2,1413.44
2024-05-08,North,Sports,Yoga Mat,5,592.4
2024-05-08,East,Electronics,Power Bank 20000mAh,4,1388.46
2024-05-09,North,Sports,Dumbbell Set 10kg,1,1891.45
2024-05-10,North,Home & Kitchen,LED Table Lamp,9,773.51
2024-05-10,West,Sports,Dumbbell Set 10kg,2,1868.25
2024-05-10,South,Home & Kitchen,Air Purifier,7,4500.88
2024-05-12,North,Clothing,Denim Jeans,6,1559.64
2024-05-12,North,Home & Kitchen,Non-Stick Cookware Set,8,1972.88
2024-05-12,East,Electronics,Power Bank 20000mAh,3,1509.22
2024-05-13,West,Clothing,Men's Cotton T-Shirt,8,544.58
2024-05-14,East,Clothing,Winter Jacket,6,2453.54
2024-05-14,South,Electronics,Power Bank 20000mAh,6,949.9
2024-05-14,East,Clothing,Winter Jacket,5,2499.05
2024-05-14,North,Clothing,Denim Jeans,7,968.43
2024-05-15,East,Electronics,Wireless Earbuds,5,2819.96
2024-05-15,East,Sports,Football,7,526.23
2024-05-15,North,Clothing,Women's Kurti,5,1001.8
2024-05-16,East,Sports,Cricket Bat,2,1046.29
2024-05-17,South,Home & Kitchen,LED Table Lamp,2,483.6
2024-05-17,West,Electronics,Smartwatch,2,2842.83
2024-05-19,North,Sports,Football,7,968.21
2024-05-19,South,Sports,Football,8,789.93
2024-05-19,South,Sports,Dumbbell Set 10kg,3,1564.52
2024-05-20,West,Home & Kitchen,Air Purifier,5,6541.72
2024-05-20,East,Home & Kitchen,Non-Stick Cookware Set,6,2454.06
2024-05-20,South,Home & Kitchen,Air Purifier,2,7565.28
2024-05-21,West,Clothing,Men's Cotton T-Shirt,8,382.09
2024-05-21,South,Sports,Cricket Bat,2,1369.46
2024-05-21,West,Sports,Yoga Mat,7,456.26
2024-05-21,East,Sports,Dumbbell Set 10kg,6,1550.42
2024-05-21,North,Home & Kitchen,LED Table Lamp,5,849.84
2024-05-21,West,Clothing,Running Shoes,8,3659.43
2024-05-22,West,Clothing,Winter Jacket,1,2535.29
2024-05-22,West,Home & Kitchen,Electric Kettle,5,1139.82
2024-05-22,West,Home & Kitchen,Air Purifier,6,7118.8
2024-05-23,West,Electronics,Smartwatch,6,2562.63
2024-05-24,South,Sports,Cycling Helmet,3,1435.2
2024-05-24,West,Sports,Cycling Helmet,8,957.17
2024-05-24,South,Sports,Football,1,831.79
2024-05-25,West,Home & Kitchen,Non-Stick Cookware Set,4,2141.91
2024-05-25,East,Home & Kitchen,LED Table Lamp,7,787.37
2024-05-26,North,Sports,Dumbbell Set 10kg,2,2087.66
2024-05-27,North,Clothing,Denim Jeans,5,1277.84
2024-05-27,South,Electronics,Power Bank 20000mAh,5,1642.78
2024-05-28,South,Sports,Cycling Helmet,3,1432.13
2024-05-28,North,Sports,Dumbbell Set 10kg,2,2118.61
2024-05-29,West,Sports,Cycling Helmet,6,1038.45
2024-05-29,East,Home & Kitchen,Vacuum Cleaner,4,6395.69
2024-05-31,East,Clothing,Men's Cotton T-Shirt,1,611.79
2024-05-31,North,Home & Kitchen,Air Purifier,3,8039.31
2024-05-31,South,Home & Kitchen,Non-Stick Cookware Set,2,1397.06
2024-05-31,South,Electronics,Smartwatch,2,3464.33
2024-05-31,South,Home & Kitchen,Air Purifier,1,7123.61
2024-06-01,South,Clothing,Women's Kurti,3,823.63
2024-06-01,North,Clothing,Men's Cotton T-Shirt,9,403.76
2024-06-01,West,Clothing,Denim Jeans,4,1775.95
2024-06-02,West,Sports,Cricket Bat,3,912.11
2024-06-02,South,Sports,Yoga Mat,2,889.95
2024-06-02,West,Sports,Dumbbell Set 10kg,10,1813.26
2024-06-02,West,Home & Kitchen,Vacuum Cleaner,1,4634.25
2024-06-03,West,Electronics,USB-C Charger 65W,6,1072.92
2024-06-03,West,Electronics,Bluetooth Speaker,4,2569.15
2024-06-04,North,Sports,Yoga Mat,4,594.32
2024-06-04,North,Home & Kitchen,Vacuum Cleaner,2,4317.47
2024-06-04,South,Electronics,Power Bank 20000mAh,7,1623.67
2024-06-04,South,Clothing,Winter Jacket,8,3196.24
2024-06-04,West,Electronics,Smartwatch,2,2904.9
2024-06-04,North,Sports,Cricket Bat,6,1038.8
2024-06-05,East,Sports,Cycling Helmet,3,1320.79
2024-06-06,West,Sports,Cricket Bat,3,1072.26
2024-06-06,South,Sports,Cricket Bat,6,1502.89
2024-06-07,West,Clothing,Winter Jacket,3,2615.59
2024-06-09,West,Sports,Cycling Helmet,3,1046.68
2024-06-09,South,Electronics,Smartwatch,3,3993.22
2024-06-10,West,Electronics,USB-C Charger 65W,3,834.08
2024-06-10,South,Home & Kitchen,Vacuum Cleaner,8,4111.93
2024-06-10,North,Sports,Cycling Helmet,9,1556.66
2024-06-10,South,Home & Kitchen,LED Table Lamp,7,813.08
2024-06-11,South,Electronics,Power Bank 20000mAh,6,1015.5
2024-06-11,West,Clothing,Winter Jacket,7,2121.2
2024-06-11,South,Sports,Football,6,985.42
2024-06-12,South,Clothing,Denim Jeans,1,1406.27
2024-06-13,East,Home & Kitchen,Air Purifier,2,5345.71
2024-06-14,East,Clothing,Running Shoes,6,3331.42
2024-06-16,West,Electronics,Bluetooth Speaker,8,1984.97
2024-06-17,South,Sports,Cricket Bat,4,1290.57
2024-06-18,West,Home & Kitchen,Non-Stick Cookware Set,7,2445.28
2024-06-18,West,Electronics,USB-C Charger 65W,4,847.99
2024-06-18,North,Sports,Yoga Mat,7,511.0
2024-06-18,West,Electronics,Wireless Earbuds,1,2035.18
2024-06-18,South,Clothing,Women's Kurti,5,896.36
2024-06-18,West,Clothing,Men's Cotton T-Shirt,5,663.96
2024-06-18,South,Home & Kitchen,Non-Stick Cookware Set,7,1764.59
2024-06-18,North,Electronics,Wireless Earbuds,3,2911.9
2024-06-18,South,Sports,Football,6,840.88
2024-06-19,South,Clothing,Men's Cotton T-Shirt,6,634.73
2024-06-19,North,Home & Kitchen,Non-Stick Cookware Set,5,2546.91
2024-06-21,West,Sports,Cricket Bat,9,1227.95
2024-06-22,North,Electronics,Bluetooth Speaker,2,2092.74
2024-06-22,North,Home & Kitchen,Electric Kettle,8,950.05
2024-06-22,West,Sports,Football,1,837.38
2024-06-23,North,Home & Kitchen,Electric Kettle,7,671.55
2024-06-23,West,Clothing,Denim Jeans,6,1560.78
2024-06-23,North,Clothing,Denim Jeans,3,1427.95
2024-06-24,East,Home & Kitchen,LED Table Lamp,3,878.67
2024-06-24,South,Sports,Dumbbell Set 10kg,8,2119.01
2024-06-24,West,Home & Kitchen,Air Purifier,3,6357.35
2024-06-24,West,Sports,Cricket Bat,10,2197.35
2024-06-25,East,Home & Kitchen,Air Purifier,7,8303.87
2024-06-25,West,Sports,Dumbbell Set 10kg,3,1914.85
2024-06-25,North,Sports,Cycling Helmet,1,1456.72
2024-06-26,North,Clothing,Denim Jeans,2,929.0
2024-06-26,West,Sports,Dumbbell Set 10kg,5,2746.57
2024-06-27,South,Electronics,Smartwatch,3,4252.74
2024-06-27,West,Electronics,Smartwatch,7,4615.37
2024-06-28,West,Clothing,Men's Cotton T-Shirt,1,613.98
2024-06-28,West,Electronics,Smartwatch,7,2778.34
2024-06-28,East,Sports,Yoga Mat,6,707.43
2024-06-28,West,Sports,Yoga Mat,5,481.33
2024-06-29,West,Clothing,Running Shoes,8,2884.25
2024-06-29,East,Sports,Cycling Helmet,7,1306.82
2024-06-29,West,Home & Kitchen,Air Purifier,1,6758.27
2024-06-29,East,Sports,Football,1,1015.85
2024-07-01,North,Electronics,Bluetooth Speaker,2,2434.4
2024-07-01,North,Sports,Football,10,559.99
2024-07-01,North,Clothing,Women's Kurti,2,1040.07
2024-07-01,North,Clothing,Men's Cotton T-Shirt,2,586.53
2024-07-01,South,Home & Kitchen,Air Purifier,5,6968.45
2024-07-03,East,Electronics,USB-C Charger 65W,1,973.32
2024-07-03,North,Sports,Football,12,1033.14
2024-07-03,South,Home & Kitchen,Non-Stick Cookware Set,3,1272.5
2024-07-03,North,Electronics,Power Bank 20000mAh,9,1079.71
2024-07-04,North,Home & Kitchen,Electric Kettle,2,659.96
2024-07-04,West,Sports,Football,5,686.94
2024-07-04,North,Sports,Football,1,587.53
2024-07-05,West,Electronics,Smartwatch,6,4740.6
2024-07-06,North,Home & Kitchen,Electric Kettle,9,1277.17
2024-07-07,East,Clothing,Running Shoes,2,3355.58
2024-07-07,East,Home & Kitchen,Non-Stick Cookware Set,2,1802.85
2024-07-08,West,Sports,Cycling Helmet,4,1496.87
2024-07-08,South,Clothing,Winter Jacket,4,2954.27
2024-07-08,North,Electronics,USB-C Charger 65W,8,1351.48
2024-07-09,West,Home & Kitchen,Air Purifier,5,6708.62
2024-07-10,West,Electronics,Bluetooth Speaker,4,1228.67
2024-07-10,West,Electronics,Wireless Earbuds,8,1996.63
2024-07-10,North,Clothing,Men's Cotton T-Shirt,1,435.07
2024-07-11,North,Sports,Dumbbell Set 10kg,6,1632.47
2024-07-11,East,Sports,Yoga Mat,2,601.43
2024-07-11,North,Home & Kitchen,Non-Stick Cookware Set,5,1787.74
2024-07-12,East,Sports,Yoga Mat,3,726.77
2024-07-12,North,Electronics,Wireless Earbuds,5,2471.15
2024-07-13,West,Electronics,Bluetooth Speaker,5,2491.41
2024-07-13,North,Home & Kitchen,Vacuum Cleaner,7,6234.27
2024-07-13,East,Clothing,Running Shoes,6,2895.87
